track_name,artist_names,track_duration,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Do 2 Me (feat. Anderson .Paak & SiR),"KAYTRANADA, Anderson .Paak, SiR",230823,Alternative R&B,0.487,0.786,11,-6.944,0,0.228,0.0895,0.0,0.363,0.53,104.076
Lover/Friend,"KAYTRANADA, Rochelle Jordan",259204,Alternative R&B,0.654,0.642,8,-11.092,0,0.289,0.021,0.00195,0.0357,0.608,104.511
Witchy (feat. Childish Gambino),"KAYTRANADA, Childish Gambino",227000,Alternative R&B,0.592,0.619,5,-8.183,1,0.137,0.00125,0.000918,0.119,0.319,109.924
Snap My Finger (feat. PinkPantheress),"KAYTRANADA, PinkPantheress",201371,Alternative R&B,0.772,0.639,5,-7.876,0,0.0455,0.016,0.00975,0.431,0.497,117.99
Red Wine Supernova,Chappell Roan,192720,Indie Pop,0.657,0.82,9,-4.448,1,0.0441,0.0176,0.0,0.0847,0.709,124.041
Where'd All the Time Go?,Dr. Dog,234800,Indie Rock,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303
SLUT ME OUT 2,NLE Choppa,135058,Rap,0.718,0.624,1,-6.666,1,0.235,0.0383,0.0,0.0547,0.456,127.929
Take Me Far Away,"Exitus999, gabriawll",141177,Krushclub,0.543,0.518,5,-10.098,0,0.031,0.0601,5.78E-06,0.305,0.11,125.006
LOOP (feat. Lil Cherry),"Yves, Lil Cherry",163480,K-Pop,0.875,0.526,5,-6.875,0,0.232,0.0736,7.66E-05,0.227,0.672,127.976
Picture You,Chappell Roan,187130,Indie Pop,0.354,0.468,4,-5.415,1,0.0334,0.4,0.0,0.138,0.281,160.586
ON DAT BXTCH!,"Lumi Athena, Masonn Deforest",124440,Sigilkore,0.621,0.904,11,-6.435,1,0.0393,0.017,0.42,0.352,0.561,138.951
BAHAMA,aespa,190533,K-Pop,0.766,0.781,2,-5.469,1,0.0431,0.155,0.000192,0.101,0.657,120.024
Love Potions,"BJ Lips, princess paparazzi",173165,Krushclub,0.662,0.833,11,-5.621,1,0.0318,0.0996,0.0,0.204,0.457,121.938
Armageddon,aespa,196466,K-Pop,0.695,0.789,9,-2.05,1,0.0671,0.0651,1.39E-06,0.168,0.469,91.991
Lucky Girl Syndrome,ILLIT,140021,K-Pop,0.757,0.915,0,-4.382,1,0.0678,0.019,0.0,0.201,0.439,119.986
Girls Never Die,tripleS,187920,K-Pop,0.667,0.912,11,-2.704,0,0.104,0.154,0.0,0.351,0.675,95.031
Espresso - Decaf Version,Sabrina Carpenter,194716,Pop,0.659,0.749,10,-5.262,1,0.0282,0.0866,0.0,0.216,0.771,92.527
Espresso - Espressooooo Version,Sabrina Carpenter,295459,Pop,0.741,0.717,7,-5.301,1,0.0303,0.0486,0.000508,0.164,0.719,103.964
Espresso - On Vacation Version,Sabrina Carpenter,175459,Pop,0.811,0.631,0,-6.252,1,0.0423,0.00815,0.881,0.147,0.722,103.988
Espresso - Double Shot Version,Sabrina Carpenter,149063,Pop,0.715,0.826,0,-5.042,0,0.0457,0.244,8.11E-06,0.179,0.818,121.283
LUNCH,Billie Eilish,179586,Pop,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987
Ice Queen,IVE,183226,K-Pop,0.82,0.65,1,-5.688,0,0.0867,0.371,0.0,0.0939,0.446,98.027
Accendio,IVE,192013,K-Pop,0.759,0.875,0,-3.942,0,0.0646,0.0493,0.0,0.0997,0.662,140.011
Monster,Lady Gaga,249280,Dance Pop,0.695,0.801,9,-4.503,0,0.0441,0.00124,0.0,0.479,0.646,119.973
The Feminine Urge,The Last Dinner Party,206571,Indie Rock,0.616,0.714,2,-5.934,1,0.0327,0.000935,0.00336,0.126,0.647,117.992
Burn Alive,The Last Dinner Party,201414,Indie Rock,0.603,0.728,7,-5.366,0,0.0302,0.000329,0.00255,0.0944,0.288,110.936
"Good Luck, Babe!",Chappell Roan,218423,Indie Pop,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712
Drama,aespa,214973,K-Pop,0.644,0.872,6,-1.54,0,0.0417,0.164,0.0,0.363,0.378,131.016
Twilight,bôa,228800,Pov: Indie,0.386,0.826,11,-7.847,0,0.114,0.158,0.000489,0.101,0.376,187.094
Supernova,aespa,178880,K-Pop,0.744,0.747,11,-4.281,0,0.0824,0.00691,2.03E-06,0.0739,0.368,120.077
Smile,Lily Allen,196893,Dance Pop,0.632,0.639,5,-5.938,1,0.0259,0.00143,0.0,0.221,0.733,95.506
I’m Ready,CHUNG HA,192773,K-Pop,0.717,0.882,8,-3.621,1,0.163,0.0272,0.0,0.0892,0.511,125.07
Casual,Chappell Roan,232796,Indie Pop,0.508,0.411,1,-6.95,1,0.0269,0.226,0.0,0.0571,0.34,131.008
meet the grahams,Kendrick Lamar,392138,Rap,0.479,0.802,5,-6.252,1,0.309,0.55,0.00045,0.11,0.602,74.98
Not Like Us,Kendrick Lamar,274192,Rap,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061
MAGO,GFRIEND,199133,K-Pop,0.621,0.821,6,-3.662,0,0.0364,0.00548,0.000578,0.142,0.646,120.062
Push Push,SISTAR,187376,K-Pop,0.794,0.935,1,-3.48,0,0.0349,0.0192,2.61E-06,0.0436,0.968,126.957
Till the Wheels Fall Off,Macabre Plaza,80000,Utopian Virtual,0.575,0.742,1,-10.767,1,0.0438,0.0109,0.84,0.136,0.788,120.028
Satisfied,Take Van,79491,Indie,0.485,0.531,9,-9.934,1,0.065,0.00737,7.94E-06,0.168,0.332,149.244
Overseas,"Thundercat, Zack Fox",88453,Indie Soul,0.849,0.604,2,-8.464,0,0.0338,0.44,0.0915,0.78,0.714,119.945
Take Me Home,PinkPantheress,200653,Bedroom Pop,0.573,0.66,11,-8.304,0,0.0609,0.173,0.149,0.111,0.461,172.072
해야 (HEYA),IVE,189680,K-Pop,0.702,0.837,5,-3.447,0,0.0567,0.0297,0.0,0.227,0.685,91.986
Faster n Harder (w/ Tara Yummy),"6arelyhuman, Tara Yummy",123445,Krushclub,0.488,0.989,7,-1.846,1,0.327,0.0333,0.0,0.424,0.575,139.988
Faster n Harder,6arelyhuman,123428,Krushclub,0.475,0.983,7,-1.83,1,0.198,0.0145,0.0,0.224,0.478,139.966
Gee,Girls' Generation,201160,K-Pop,0.756,0.93,1,-1.082,0,0.0274,0.281,0.0,0.11,0.737,99.988
Break from Toronto,PARTYNEXTDOOR,99213,Rap,0.595,0.678,9,-5.18,1,0.0335,0.0199,0.00389,0.418,0.259,117.067
Champagne Coast,Blood Orange,292373,Indie Soul,0.813,0.406,9,-12.626,1,0.0662,0.0203,0.392,0.0757,0.755,122.658
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",242733,Dance Pop,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0
HUSH,Rhea Raj,175221,Dark R&B,0.798,0.83,5,-4.867,0,0.151,0.155,0.000841,0.0585,0.359,112.985
